Name,Korean,Category,Locality,Address,Confidence,NaverLink,Source
Hwadam Forest,화담숲,DAYTRIPS,"Gwangju, Gyeonggi-do",경기도 광주시 도척면 도척윗로 278-1,High,https://map.naver.com/p/search/화담숲,https://www.instagram.com/reel/DW3Y1URkywP/
Kkangtong Dumpling,깡통만두,Bukchon Hanok Village,"Seoul (Bukchon, Jongno-gu)",서울특별시 종로구 북촌로2길 5-6 1층,High,https://map.naver.com/p/search/깡통만두,https://www.instagram.com/reel/DXyi85gvkS3/
Artist Bakery,아티스트 베이커리,Bukchon Hanok Village,"Seoul (Bukchon, Jongno-gu)",서울특별시 종로구 율곡로 45 1층,High,https://map.naver.com/p/search/아티스트베이커리%20안국,https://www.instagram.com/reel/DXyi85gvkS3/
OIMU Bukchon,오이뮤 북촌,"Bukchon Hanok Village, Garden Festival","Seoul (Bukchon, Jongno-gu)",서울특별시 종로구 윤보선길 65 1층,High,https://map.naver.com/p/search/오이뮤%20북촌,https://www.instagram.com/p/DXYGv7Yk3ST/
Boobing Gahoe Branch,부빙 북촌점,Bukchon Hanok Village,"Seoul (Gahoe-dong, Jongno-gu)",서울특별시 종로구 북촌로7길 3-4,High,https://map.naver.com/p/search/부빙,https://www.instagram.com/reel/DXyi85gvkS3/
Samcheongdong Hotteok,삼청동호떡,Bukchon Hanok Village,"Seoul (Samcheong-dong, Jongno-gu)",서울특별시 종로구 율곡로3길 82-6,High,https://map.naver.com/p/search/삼청동호떡,https://www.instagram.com/reel/DXyi85gvkS3/
Rewind Cafe,리와인드,Bukchon Hanok Village,"Seoul (Bukchon, Jongno-gu)",서울특별시 종로구 율곡로 33 2F,High,https://map.naver.com/p/search/리와인드%20서울,https://www.instagram.com/reel/DXyi85gvkS3/
Hayeon-Ok,,Nengmyeon,"Jinju, Gyeongsangnam-do",,Unresolved,https://map.naver.com/p/search/Hayeon-Ok,https://www.instagram.com/reel/DX0LGoJzmgp/
Nishimuramen,,Ramen,Seoul (Mapo-gu),"265 Donggyo-ro, 4th floor, Mapo-gu, Seoul (서울특별시 마포구 동교로 265 4층)",Unresolved,https://map.naver.com/p/search/Nishimuramen,https://www.instagram.com/reel/DX9hujuqfpR/
Jinmi Sikdang,,Crab!,Seoul,서울특별시 마포구 마포대로 186-6,Check,https://map.naver.com/p/search/진미식당,https://www.instagram.com/reel/DWm9zrIkz6v/
Odarijip,,Crab!,"Mapo-gu, Seoul (near Hongik Univ. Station exit 9)",서울특별시 강남구 논현로94길 5 2층,Check,https://map.naver.com/p/search/오다리집%20간장게장%20역삼2호점,https://www.instagram.com/reel/DWgLJq4Enbd/
Sancho,산초,Crab!,"Gangnam-gu, Seoul (10-min walk from Gangnam-gu Office Station)",서울특별시 강남구 도산대로46길 11 1층 102호,High,https://map.naver.com/p/search/산초,https://www.instagram.com/reel/DYjWoosTPUL/
Seosulla-gil,서순라길,Seosulla-gil,"Jongno-gu, Seoul",서울특별시 종로구 권농동,High,https://map.naver.com/p/search/서순라길,https://www.instagram.com/reel/DXyroD4Tsb9/
Zion Jongno,,Seosulla-gil,"Jongno-gu, Seoul",,Unresolved,https://map.naver.com/p/search/Zion%20Jongno,https://www.instagram.com/reel/DXyroD4Tsb9/
Unpage (by Unspecialty),,Cafe,"Hannam-dong, Yongsan-gu, Seoul",서울특별시 용산구 한남대로27가길 13 2층,Check,https://map.naver.com/p/search/언페이지,https://www.instagram.com/reel/DXo51JJj1V-/
Seonungak,선운각,Cafe,"Uidong, Gangbuk-gu, Seoul",서울특별시 강북구 삼양로173길 223 선운각,High,https://map.naver.com/p/search/선운각,https://www.instagram.com/reel/DXO8d3OEzRz/
Mil Toast Ikseon,밀토스트 익선점,Cafe,"Jongno-gu (Ikseon-dong), Seoul",서울특별시 종로구 수표로28길 30-3 1층 밀토스트,High,https://map.naver.com/p/search/밀토스트%20익선점,https://www.instagram.com/reel/DXLC3x6EwZ6/
Lowkey Coffee,로우키 커피,Cafe,"Seongsu, Seoul","서울특별시 성동구 연무장3길 6 1층, B1층",High,https://map.naver.com/p/search/로우키,https://www.instagram.com/p/DWc_dxZksMO/?img_index=4
Pin Coffee,핀커피,Cafe,"Guui-dong, Gwangjin-gu, Seoul",서울특별시 광진구 아차산로 413-6,High,https://map.naver.com/p/search/핀커피,https://www.instagram.com/p/DWc_dxZksMO/?img_index=4
Fritz Coffee Company Wonseo,프릳츠 원서점,Cafe,"Wonseo-dong, Jongno-gu, Seoul",서울특별시 종로구 율곡로 83 아라리오 뮤지엄,High,https://map.naver.com/p/search/프릳츠%20원서점,https://www.instagram.com/p/DWc_dxZksMO/?img_index=4
