Name,Korean,Category,Locality,Address,Confidence,NaverLink,Source
Geumsan,,Bread2,"Geumsan, South Chungcheong Province",서울특별시 동대문구 약령시로21길 30,Check,https://map.naver.com/p/search/금산식당,https://www.instagram.com/reel/DXN7Kisk6B1/
Ttukseom Hangang Park,,"Han River, Garden Festival",Seoul (Han River / Ttukseom),서울특별시 광진구 자양동 704-1,Check,https://map.naver.com/p/search/뚝섬한강공원,https://www.instagram.com/reel/DXL-a8ND33k/
Han River,한강,Han River,Seoul,서울특별시 영등포구 여의동로 300-2,High,https://map.naver.com/p/search/한강,https://www.instagram.com/reel/DXL-a8ND33k/
Number one Filipino restaurant in Korea (unnamed),,Filipino Restaurant,Korea,,Unresolved,https://map.naver.com/p/search/Number%20one%20Filipino%20restaurant%20in%20Korea%20(unnamed),https://www.facebook.com/reel/1147537077460850/
Hannamdong Hanbang Tongdak,한남동한방통닭,KOREA ROAST CHICKEN,"Hannam-dong, Yongsan-gu, Seoul","서울특별시 용산구 대사관로34길 12 1, 2층",High,https://map.naver.com/p/search/한남동한방통닭,https://www.instagram.com/reel/DXVfTIljtrD/
The Grazing Pig,풀뜯는 돼지,HONGDAE,"Hongdae, Mapo-gu, Seoul",서울특별시 마포구 동교로32길 7 1층 풀뜯는돼지,High,https://map.naver.com/p/search/풀뜯는돼지,https://www.instagram.com/p/DXWTa0KDxtq/?img_index=6
Olive Young Hongdae Town,올리브영 홍대타운,HONGDAE,"Hongdae, Mapo-gu, Seoul",서울특별시 마포구 홍익로6길 57 올리브영 홍대 타운,High,https://map.naver.com/p/search/올리브영%20홍대%20타운,https://www.instagram.com/p/DXWTa0KDxtq/?img_index=6
Kakao Friends Hongdae Flagship Store,카카오프렌즈 홍대 플래그십 스토어,HONGDAE,"Hongdae, Mapo-gu, Seoul",서울특별시 마포구 양화로 162 좋은사람들빌딩 1~3층,High,https://map.naver.com/p/search/카카오프렌즈%20홍대플래그십%20스토어,https://www.instagram.com/p/DXWTa0KDxtq/?img_index=6
Zakdangmoi,작당모의,HONGDAE,"Hongdae, Mapo-gu, Seoul",서울특별시 마포구 동교로32길 19 1층,High,https://map.naver.com/p/search/작당모의,https://www.instagram.com/p/DXWTa0KDxtq/?img_index=6
KT&G Sangsangmadang,KT&G 상상마당,HONGDAE,"Hongdae, Mapo-gu, Seoul",서울특별시 마포구 어울마당로 65 상상마당빌딩,Check,https://map.naver.com/p/search/KT&amp;G%20상상마당,https://www.instagram.com/p/DXWTa0KDxtq/?img_index=6
Pumparcade Hongdae,펌프아케이드 홍대점,HONGDAE,"Hongdae, Mapo-gu, Seoul",서울특별시 마포구 와우산로21길 20 지하1층,High,https://map.naver.com/p/search/펌프아케이드%20홍대점,https://www.instagram.com/p/DXWTa0KDxtq/?img_index=6
Hangaram Stationery Store (Hongik University branch),한가람문구 홍익대점,HONGDAE,"Hongdae / Hongik University, Mapo-gu, Seoul",서울특별시 마포구 와우산로 94 홍익대학교 홍문관내 로비층,High,https://map.naver.com/p/search/한가람문구%20홍익대점,https://www.instagram.com/p/DXWTa0KDxtq/?img_index=6
Ikseon-dong,익선동,IKSON-DONG,"Ikseon-dong, Jongno-gu, Seoul",서울특별시 종로구 수표로28길 33-3 1층 서울커피,Check,https://map.naver.com/p/search/서울커피%20익선본점,https://www.instagram.com/reel/DXYh1CLD3Z8/
Oncheon Ikseon,,IKSON-DONG,"Ikseon-dong, Jongno-gu, Seoul",,Unresolved,https://map.naver.com/p/search/Oncheon%20Ikseon,https://www.instagram.com/reel/DXYh1CLD3Z8/
Ikseon-dong Yeolliji,익선동 연리지,IKSON-DONG,"Ikseon-dong, Jongno-gu, Seoul",서울특별시 종로구 돈화문로11나길 28-1 1층,High,https://map.naver.com/p/search/익선동연리지,https://www.instagram.com/reel/DXYh1CLD3Z8/
Flippers (Ikseon branch),,IKSON-DONG,"Ikseon-dong, Jongno-gu, Seoul",,Unresolved,https://map.naver.com/p/search/Flippers%20(Ikseon%20branch),https://www.instagram.com/reel/DXYh1CLD3Z8/
Ikseon Egg Tart,,IKSON-DONG,"Ikseon-dong, Jongno-gu, Seoul",서울특별시 종로구 돈화문로11가길 19 1층,Check,https://map.naver.com/p/search/익선에그타르트,https://www.instagram.com/reel/DXYh1CLD3Z8/
Ikseon Alleyways shops,,IKSON-DONG,"Ikseon-dong, Jongno-gu, Seoul",,Unresolved,https://map.naver.com/p/search/Ikseon%20Alleyways%20shops,https://www.instagram.com/reel/DXYh1CLD3Z8/
2026 Seoul International Garden Show,,Garden Festival,"Seoul Forest / Ttukseom Hangang Park / Seongsu-Hwadong, Seoul",,Unresolved,https://map.naver.com/p/search/2026%20Seoul%20International%20Garden%20Show,https://www.instagram.com/p/DXYGv7Yk3ST/
The Hanok Heritage House,더 한옥 헤리티지,Hanok heritage house,"Yeongwol-gun, Gangwon-do",강원특별자치도 영월군 남면 문개실길 37-200,High,https://map.naver.com/p/search/더한옥헤리티지,https://www.instagram.com/p/DXjrAQpEzYe/?img_index=5
North Korean food restaurant in Gangnam (unnamed),,Gangnam,"Gangnam, Seoul",,Unresolved,https://map.naver.com/p/search/North%20Korean%20food%20restaurant%20in%20Gangnam%20(unnamed),https://www.instagram.com/reel/DXnlnfbkwe3/
Gamekol Son Wangmandu,,Must EAT,"Namdaemun Market, Jung-gu, Seoul","42 Namdaemunsijang 4-gil, Jung District, Seoul, South Korea",Unresolved,https://map.naver.com/p/search/Gamekol%20Son%20Wangmandu,https://www.instagram.com/reel/DXpuM6PPHLx/
Yumin Art Nouveau Collection,,Jeju,Jeju,,Unresolved,https://map.naver.com/p/search/Yumin%20Art%20Nouveau%20Collection,https://www.instagram.com/p/DYhQixdkvBn/?img_index=6
Bonte Museum,본태박물관,Jeju,"Andeok-myeon, Seogwipo-si, Jeju",제주특별자치도 서귀포시 안덕면 산록남로762번길 69 본태박물관,High,https://map.naver.com/p/search/본태박물관,https://www.instagram.com/p/DYhQixdkvBn/?img_index=6
Water Wind Stone Museum,수풍석뮤지엄,Jeju,"Andeok-myeon, Seogwipo-si, Jeju",제주특별자치도 서귀포시 안덕면 산록남로762번길 79,High,https://map.naver.com/p/search/수풍석%20뮤지엄,https://www.instagram.com/p/DYhQixdkvBn/?img_index=6
Podo Hotel,포도호텔,Jeju,"Andeok-myeon, Seogwipo-si, Jeju",제주특별자치도 서귀포시 안덕면 산록남로 863,High,https://map.naver.com/p/search/핀크스%20포도호텔,https://www.instagram.com/reel/DYEgLnZNw_u/
Bangju Church,방주교회,Jeju,"Andeok-myeon, Seogwipo-si, Jeju",서울특별시 마포구 마포대로 173-16,High,https://map.naver.com/p/search/방주교회,https://www.instagram.com/reel/DYEgLnZNw_u/
Kim Tschang-Yeul Art Museum,제주도립김창열미술관,Jeju,"Hangyeong-myeon, Jeju-si, Jeju",제주특별자치도 제주시 한림읍 용금로 883-5,High,https://map.naver.com/p/search/제주도립김창열미술관,https://www.instagram.com/reel/DYEgLnZNw_u/
Sagye Beach,사계해변,Jeju,"Andeok-myeon, Seogwipo-si, Jeju",제주특별자치도 서귀포시 안덕면 형제해안로 24 . 1층,High,https://map.naver.com/p/search/사계해변국수,https://www.instagram.com/p/DYQVv-OlsT5/?img_index=9
Akeun Darangshi Oreum,아끈다랑쉬오름,Jeju,"Gujwa-eup, Jeju-si, Jeju",,Unresolved,https://map.naver.com/p/search/아끈다랑쉬오름,https://www.instagram.com/p/DYQVv-OlsT5/?img_index=9
Yongmeori Coast,용머리해안,Jeju,"Andeok-myeon, Seogwipo-si, Jeju",제주특별자치도 서귀포시 안덕면 사계리 112-3,High,https://map.naver.com/p/search/용머리해안,https://www.instagram.com/p/DYQVv-OlsT5/?img_index=9
Suwolbong Geo-trail,수월봉 지질트레일,Jeju,"Hangyeong-myeon, Jeju-si, Jeju",제주특별자치도 제주시 한경면 고산리 3760,High,https://map.naver.com/p/search/수월봉%20지질트레일,https://www.instagram.com/p/DYQVv-OlsT5/?img_index=9
Daepo Jusangjeolli,대포주상절리,Jeju,"Jungmun-dong, Seogwipo-si, Jeju",제주특별자치도 서귀포시 이어도로 36-24,High,https://map.naver.com/p/search/대포주상절리,https://www.instagram.com/p/DYQVv-OlsT5/?img_index=9
Geumneung Beach,금능해변,Jeju,"Hallim-eup, Jeju-si, Jeju",제주특별자치도 제주시 한림읍 금능리,Check,https://map.naver.com/p/search/금능해수욕장,https://www.instagram.com/p/DYQVv-OlsT5/?img_index=9
Jejudang,제주당,Jeju,"Aewol-eup, Jeju-si, Jeju",제주특별자치도 제주시 애월읍 월각로 927,High,https://map.naver.com/p/search/제주당,https://www.instagram.com/p/DYQVv-OlsT5/?img_index=9
Seongsan Ilchulbong,성산일출봉,Jeju,"Seongsan-eup, Seogwipo-si, Jeju",제주특별자치도 서귀포시 성산읍 성산리 1,High,https://map.naver.com/p/search/성산일출봉,https://www.instagram.com/p/DYQVv-OlsT5/?img_index=9
Gwangchigi Beach,광치기해변,Jeju,"Seongsan-eup, Seogwipo-si, Jeju",제주특별자치도 서귀포시 성산읍 고성리 224-33,High,https://map.naver.com/p/search/광치기해변,https://www.instagram.com/p/DYQVv-OlsT5/?img_index=9
Taepyeong Restaurant,태평식당,Jeju,"Seogwipo-si, Jeju",제주특별자치도 서귀포시 태평로 452 1층 태평식당,High,https://map.naver.com/p/search/태평식당,https://www.instagram.com/reel/DX2pJ25TuD3/
Jokbal restaurants in Seoul (2 unnamed),,Jokbal,Seoul,,Unresolved,https://map.naver.com/p/search/Jokbal%20restaurants%20in%20Seoul%20(2%20unnamed),https://www.instagram.com/reel/DYSN-5cT7w5/
